ID,revolutions,humidity,vibration
866,90.406,73.718,18.87
869,90.395,73.717,18.87
870,90.391,73.716,18.87
871,90.387,73.716,18.87
873,90.379,73.715,18.87
874,90.375,73.715,18.87
875,90.371,73.715,18.87
876,90.368,73.715,18.88
877,90.364,73.714,18.88
879,90.356,73.714,18.88
880,90.352,73.713,18.88
881,90.348,73.713,18.88
882,90.344,73.713,18.88
885,90.333,73.712,18.88
886,90.329,73.711,18.89
887,90.325,73.711,18.89
888,90.321,73.711,18.89
889,90.317,73.71,18.89
890,90.313,73.71,18.89
892,90.306,73.709,18.89
893,90.302,73.709,18.89
894,90.298,73.709,18.89
895,90.294,73.708,18.89
896,90.29,73.708,18.9
897,90.286,73.708,18.9
898,90.283,73.707,18.9
899,90.279,73.707,18.9
900,90.275,73.707,18.9
901,90.271,73.706,18.0
902,90.267,73.706,18.9
903,90.263,73.706,18.9
906,90.252,73.705,18.91
907,90.248,73.704,18.91
908,90.244,73.704,18.91
910,90.236,73.703,18.91
912,90.229,73.703,18.91
913,90.225,73.703,18.91
914,90.221,73.702,18.91
915,90.217,73.702,18.91
916,90.213,73.702,18.92
917,90.209,73.701,18.92
919,90.202,73.701,18.92
920,90.198,73.7,18.92
921,90.194,73.7,18.92
923,90.186,73.699,18.92
925,90.178,73.699,18.92
926,90.174,73.698,18.93
927,90.171,73.698,18.93
928,90.167,73.698,18.93
929,90.163,73.697,18.93
931,90.155,73.697,18.93
932,90.151,73.696,18.93
933,90.147,73.696,18.93
